account,shares,pre_dai,post_dai
0x21E097d1DD6Ca04E3E3216315AC8e3394281ae41,"11,677.232330245800000000","12,962.408863219600000000","8,857.082620973630000000"
0x166D58969b02bE4DAc465c43E0B795642bD68d3b,"11,567.368708124700000000","12,840.453835790700000000","8,773.751986569260000000"
0x16Ed3bB1fbdda90EA4A75a313D34ad1beeBF9668,"11,310.749075452400000000","12,555.591078336600000000","8,579.108151072820000000"
0x4a425D7823853D3BA4aE93631ac2129F07447DB8,"11,222.560822748300000000","12,457.696974994700000000","8,512.218102274480000000"
0xd0ec4A8F23dd1b148d24eCfa9dD3E82c5137Bd28,"11,175.473629408300000000","12,405.427444421700000000","8,476.502861710050000000"
0xEf29A26Bc8CF2c937D0f093De966FB6678FA038A,"10,958.096737742000000000","12,164.126417987900000000","8,311.624315584670000000"
0x5667875A5176F628Abf1f2E2A3c26CE68f111860,"10,903.836428335600000000","12,103.894310269300000000","8,270.468326745820000000"
0xF7f27e46778F1f323D1CFd3AF62Bd1b74a1C82B9,"10,679.713055695900000000","11,855.104296523100000000","8,100.472631479970000000"
0xEac446a86091dac36348dF5FEc35a09D0bD8E7D7,"10,614.621498361700000000","11,782.848871962900000000","8,051.101232082230000000"
0x735C8ab5feE89A598CCEA1a1a94524Af99D165a0,"10,581.010863239300000000","11,745.539106918600000000","8,025.607847707980000000"
0x3e4e26bF6932646BFf50c1887c43E985Fd8A2a08,"10,500.826067852000000000","11,656.529307932900000000","7,964.788354046620000000"
0xEAaA71c210B404a73bF38BA2f4a168A7F8ebf2dc,"10,324.112820349800000000","11,460.367297887400000000","7,830.752840400720000000"
0x8AF00Eef933589d2443e30F312d00620fEF54b5d,"10,294.532833934200000000","11,427.531787961400000000","7,808.316669208690000000"
0x2430b972d82a05f8D21bb9D8E9BABC0A54eEba55,"10,071.117174191200000000","11,179.527376801900000000","7,638.857768229410000000"
0x861DC0cBA1C74f9030736B1333448692b19cadA9,"9,961.073234619120000000","11,057.372186487000000000","7,555.390364553390000000"
0x320D3cE1Ed5Bdca59B71432d03407BD28e275A1b,"9,858.659559704470000000","10,943.687034913000000000","7,477.710452517460000000"
0xde3D40b57E9f1efecf234D05a726BfBfE5e99c1f,"9,553.809570886000000000","10,605.285769505500000000","7,246.484297071830000000"
0x45e49ce059706fb814895e8337f8BB3D94FDf1c7,"9,515.166149826450000000","10,562.389318575900000000","7,217.173586845150000000"
0x8f5f9f01B6bE40AE72e9141cDb43a07d5576AA82,"9,513.102314141420000000","10,560.098340609600000000","7,215.608184816530000000"
0xADEdb9169Fc07C149F71E7665a9687Dd66aEb93C,"9,430.321570738620000000","10,468.206887939900000000","7,152.819686394260000000"
0xcB0ddBFD76D66A51d2860c12640051573C1431e0,"9,364.266189303100000000","10,394.881562420300000000","7,102.717234512830000000"
0xd4b122529A47E5E8Db13536025d10aCCba31FbAE,"9,358.732527110140000000","10,388.738874681700000000","7,098.519998228290000000"
0xACd43E627e64355f1861cEC6d3a6688B31a6F952,"9,334.078505371560000000","10,361.371472812800000000","7,079.820129860300000000"
0xa3e8d4dB2D599A62b346ea38D2605c736ABC057d,"9,299.536613677540000000","10,323.027958666300000000","7,053.620395200050000000"
0x29356C9701d9116a864764ACdC899532BceD9f13,"9,268.401938912140000000","10,288.466654007900000000","7,030.005005955790000000"
